track,artist,seeds,spotify_id,genre,acousticness,danceability,energy,liveness,loudness,tempo,valence
The Act We Act,Sugar,"['aggressive', 'optimistic']",5JVsMFqGPNBmNw2ddwxtLH,alternative,8.85E-05,0.444,0.982,0.168,-5.608,124.553,0.111
What About,Janet Jackson,"['aggressive', 'angry']",5vw6gK0JrGzRlegimi2NyB,pop,0.126,0.633,0.922,0.602,-3.675,192.876,0.684
Devils,Motörhead,"['aggressive', 'angry', 'trippy']",2YrrNuVMvyg6VUZbUccJJe,metal,0.000365,0.393,0.954,0.0367,-5.13,136.021,0.18
Goin' Down,Melanie C,"['aggressive', 'fierce', 'powerful']",28PRXrS8AkRX32FGL6S0DU,rock,0.000797,0.524,0.926,0.168,-3.958,100.07,0.581
Never Leave A Job Half Done,Pedro the Lion,['aggressive'],2aMtorjeAPEvhSg3TTMsh9,indie,0.0343,0.401,0.918,0.249,-5.59,145.516,0.687
More Human Than Human (Meet Bambi in the King's Harem mix),White Zombie,['aggressive'],2G3F5LyALgIMFbcCi88oYO,metal,2.93E-05,0.624,0.833,0.0352,-8.32,100.983,0.806
The Ritual,Saul Williams,['aggressive'],50leMLM8GsQEw9EePq0uqE,hip-hop,0.0262,0.888,0.703,0.127,-6.888,114.18,0.568
That's What It Is,Immortal Technique,['aggressive'],5jiz9knVWREmTvgDYXvgy3,hip-hop,0.103,0.796,0.839,0.0446,-4.808,89.033,0.708
Pressure,Swollen Members,['aggressive'],2tPfvkMgoz7cJt3sOgHU6c,hip-hop,0.306,0.892,0.867,0.123,-4.756,109.024,0.87
Specialist,Sage Francis,"['aggressive', 'introspective', 'bittersweet']",1ruOf1jBah2Rc5mazVy4fs,hip-hop,0.247,0.576,0.728,0.149,-7.882,172.073,0.326
Razorblade,Blue October,"['aggressive', 'angry']",3LA5kI6ohA91mhyE3E2hyf,rock,0.00774,0.366,0.927,0.135,-4.7,138.393,0.77
Качели,7раса,['aggressive'],1rgSEd0sLuFZgGyTVzZ1qQ,alternative,1.48E-05,0.366,0.973,0.192,-2.794,115.493,0.541
Ложь,Lumen,"['aggressive', 'intense']",6r6WXQBBKaInF931XEtkqq,alternative,0.00698,0.507,0.871,0.237,-4.741,113.028,0.366
Heat,DMX,['aggressive'],0ZonXIVCpISrv3YO3ALHjf,rap,0.0635,0.591,0.659,0.0854,-8.883,84.012,0.763
Growin' Up,Ice Cube,['aggressive'],2wKbamR0CPuWM4eu0aq3Bt,rap,0.0448,0.835,0.649,0.0797,-4.692,86.981,0.494
Damage,Non-Prophets,"['aggressive', 'brooding']",1C2KTiVWHNHE94qaJcfifK,hip-hop,0.046,0.722,0.758,0.807,-9.933,95.043,0.746
Figure It Out,Maroon 5,"['aggressive', 'intense', 'soothing', 'brash', 'dramatic', 'powerful']",5qUrVPh2XRNuDLkkyAEuNQ,rock,0.0382,0.893,0.553,0.0467,-4.484,100.03,0.464
Unfulfilled,Quicksand,['aggressive'],7lfcap6innWNBNfdDS3WYb,rock,0.000375,0.408,0.839,0.0963,-7.366,166.063,0.589
Talkin' 'Bout You,The Animals,['aggressive'],2nn5hgxjtmugWJudh9zlxt,rock,0.688,0.433,0.817,0.092,-3.986,122.511,0.826
2nd Hand Smoke,Twiztid,['aggressive'],2MPIQ8T8laaAtkcieQgPEJ,hip-hop,0.00815,0.711,0.718,0.384,-8.802,164.034,0.65
Harmonic,Unwritten Law,['aggressive'],53WwBqcgZtaaWNKQCXwI3m,rock,0.0294,0.442,0.97,0.305,-5.221,91.756,0.544
Back In The Mud,Bubba Sparxxx,['aggressive'],7E72Xjd9RFgDkBVLx5KlGf,rap,0.0083,0.585,0.908,0.066,-4.848,191.004,0.759
Trampoline,The Grates,['aggressive'],5ffAXwlik9gn3lAmEC6tTY,indie,0.169,0.635,0.946,0.0409,-3.022,148.142,0.3
On Your Way Down,Stabbing Westward,"['aggressive', 'angry']",1lARMueaG2L54SnZNvDDGR,rock,0.000122,0.449,0.758,0.691,-6.417,147.862,0.183
Cokane in My Brain,Die Toten Hosen,['aggressive'],1C10eI2EFongnakQUBWq6B,rock,0.00991,0.335,0.978,0.854,-1.677,120.288,0.45
What U See Is What U Get,Xzibit,['aggressive'],4ezafcOuI5em8LoE2xxnpv,hip-hop,0.0541,0.724,0.806,0.314,-6.843,93.863,0.586
Who's The Man,House of Pain,['aggressive'],4AZWyXZm5g13fHLhZjFASc,hip-hop,0.0717,0.622,0.716,0.111,-8.295,190.628,0.572
Last Man Standing,People In Planes,['aggressive'],1BoJEC8Tjs4DxoEGuT8UBf,alternative,0.106,0.358,0.907,0.193,-5.612,93.964,0.264
American Cliche,Filter,"['aggressive', 'angry']",4YhA8wCS03e32t61v4D8Ik,rock,4.45E-05,0.515,0.865,0.254,-5.233,84.015,0.357
Nostalgic Pushead,Manic Street Preachers,['aggressive'],30hHZsMClnFYGPVz60N5D0,rock,3.49E-05,0.542,0.933,0.195,-1.763,131.337,0.462
Hatred Aside,Sepultura,['aggressive'],0Ti3Msx3qTNejeRUtByOJF,metal,0.000381,0.187,0.947,0.167,-6.94,159.661,0.119
Big Riff,Cave In,"['aggressive', 'cathartic']",4SJ261muZ5cUncbqd3Hb7A,metal,0.0029,0.316,0.936,0.153,-6.147,135.662,0.343
Dog,Sebastian,['aggressive'],18QXTNzngOF3thU1LaDRPZ,electro,0.148,0.537,0.469,0.107,-7.955,89.338,0.57
The Long Walk,Doomriders,['aggressive'],6cFj6VpKF6ywkMTh03CrVr,rock,8.76E-06,0.154,0.945,0.187,-4.847,105.135,0.409
The Blister Exists (live),Slipknot,"['aggressive', 'confrontational', 'provocative']",3NTztXizm4z0np6dapD3WR,metal,0.000219,0.331,0.996,0.408,-3.222,106.087,0.188
Razor Hoof,High on Fire,['aggressive'],7t3BH2Sa68LNUuyNtWrBA3,metal,0.000438,0.249,0.864,0.512,-7.382,163.376,0.492
Hey Phatty,Jamie Madrox,['aggressive'],1pbGcE2LFAYgaXCX2uXMpP,hip-hop,0.000933,0.741,0.871,0.384,-4.813,92.991,0.668
Getdafucout,Onyx,['aggressive'],09aAqHyadsDUH3qI4PEoc2,hip-hop,0.249,0.597,0.929,0.338,-7.267,94.755,0.801
Drivel,The Union Underground,"['aggressive', 'intense']",5i3UbErXhgaTzNQV8olld6,metal,0.00179,0.51,0.982,0.197,-4.461,148.224,0.393
Everything They Owe,2Pac,['aggressive'],3OKm9M1Rgmy9ON9QlWMRnX,hip-hop,0.0136,0.858,0.789,0.0745,-3.582,111.703,0.68
The Remedy,Abandoned Pools,"['aggressive', 'nostalgic']",3LUwnXXaJuYOuwN1b3TdOn,indie,9.34E-05,0.434,0.886,0.463,-6.879,84.135,0.424
A Better Son-Daughter,Rilo Kiley,"['aggressive', 'angry', 'cold', 'uplifting', 'gritty', 'cynical']",71sC9gVXaFRwAMHJyQO8al,indie,0.0742,0.479,0.424,0.184,-10.919,113.931,0.0473
Adam and Eve,Ani DiFranco,"['aggressive', 'angry']",5VsnTF82gYUCL45RAIiZ2b,indie,0.468,0.428,0.0799,0.102,-15.375,98.075,0.0807
I Might Have Been Queen,Tina Turner,"['aggressive', 'powerful']",27v32fV3y5dD2ltG3iPOAv,pop,0.144,0.696,0.897,0.247,-5.089,132.513,0.914
My Niggas,DMX,['aggressive'],5ka9tzfUYOsFAz6cSUvFX6,rap,0.0112,0.759,0.449,0.167,-9.938,91.658,0.287
Greed,Ice Cube,"['aggressive', 'angry', 'intense', 'positive', 'strong', 'thoughtful', 'hypnotic']",0GFg4tWcxELrTX1NdMYcnx,hip-hop,0.171,0.813,0.764,0.151,-6.906,93.027,0.543
Sadistikal,Danzig,['aggressive'],5WhSrZM7mrnUbaHBQcJ0KY,metal,0.0183,0.592,0.347,0.106,-11.688,133.093,0.0465
Trash,Silverchair,"['aggressive', 'angry']",74bcWY7W5InZTUNRmNFnOa,rock,0.00611,0.276,0.839,0.289,-7.048,73.988,0.289
Monster's Ball,Vinnie Paz,['aggressive'],7LqU8ombqyEM6eiPQd5unk,hip-hop,0.017,0.466,0.928,0.189,-3.688,174.083,0.747
I Go To Work,Kool Moe Dee,['aggressive'],6tGtBvK6DezcjbtUxXGyxe,hip-hop,0.137,0.847,0.828,0.101,-12.497,125.764,0.451
Sadiddy,Brandy,['aggressive'],0YROspOW9MlHe7b0jbnlva,hip-hop,0.462,0.754,0.622,0.0784,-5.75,86.969,0.72
Walk In New York,Onyx,"['aggressive', 'street-smart']",3YsxFbSzqiPVkyiinQImSw,hip-hop,0.0928,0.749,0.866,0.168,-8.153,175.037,0.859
Alpha,Sevendust,['aggressive'],3uZoKjtDHkypJltenfPfgf,metal,0.000212,0.52,0.926,0.207,-2.799,100.097,0.405
Worthless,Doomriders,['aggressive'],7gQTQVb663gvXR0ocZxmxL,rock,2.73E-06,0.221,0.88,0.179,-4.019,89.095,0.598
Happy Camper (carpe B.U.M.),Strapping Young Lad,['aggressive'],3FiSRW18p55yyydn1S2Gci,metal,4.92E-06,0.254,0.997,0.365,-4.58,115.676,0.158
Chromosome Damage,Chrome,['aggressive'],2p5bR8aSfgFqlUDn5lGAdY,rock,0.0261,0.102,0.676,0.229,-14.891,74.801,0.137
Champion,Grinspoon,['aggressive'],39DH2x2XWQC36BAkTU9n03,rock,0.000631,0.549,0.884,0.114,-4.724,91.508,0.693
Shifftee,Onyx,['aggressive'],5UFVE5WExZrKwRCMtK1CRv,hip-hop,0.00232,0.836,0.56,0.0647,-9.039,98.153,0.273
Broken,Digital Summer,"['aggressive', 'angry']",720y5muGgQF9WBiCaPmdng,alternative,0.00152,0.537,0.852,0.0957,-5.122,100.004,0.22
Car Fiction,Echobelly,['aggressive'],2q7CtN4Oif2NDfjPp4inob,indie,0.000359,0.38,0.89,0.031,-7.774,152.623,0.686
Once In A Lifetime,The Exies,['aggressive'],5dGWOVgzDPNLAdGL7Zd3rg,hip-hop,0.0574,0.503,0.291,0.113,-6.135,145.834,0.136
Moment Of Weakness,Bif Naked,"['aggressive', 'nostalgic']",5C8DlfRsAzGsikUazUc9nj,alternative,0.00316,0.387,0.943,0.298,-5.191,173.811,0.316
Hardly Wait,Juliette Lewis,['aggressive'],5yXXIXFNxeZDC65x4AK8Sc,rock,0.102,0.643,0.331,0.0972,-9.741,116.913,0.389
School Street,DMX,['aggressive'],3Jp39FKcqPJPeq1SWTdLpc,rap,0.0944,0.59,0.954,0.206,-3.692,130.918,0.669
Rain Water,Brother Ali,['aggressive'],69zOquKFQfKEpLR6miA1dG,hip-hop,0.577,0.631,0.558,0.143,-5.749,88.949,0.44
Disaster Blaster,White Zombie,['aggressive'],2mF5uoAhhOOu35IaX9hvtE,metal,0.00582,0.214,0.886,0.165,-8.254,94.977,0.275
